device,readout_error,channel,amplitude,eta,method,nq,q_acc,target_threshold,is_observed,is_extrapolated,is_trivial_regime,is_meaningful,is_near_random,is_random_baseline_fix,is_inference_point,random_baseline_eps,random_baseline_threshold,nq_cutoff,pred_status,target_in_pred_range,extrapolation_trusted,extrapolation_reason,interval_method_requested,interval_method_effective,interval_method_fallback_reason,interval_method_fallback_n_abs_errors,conformal_n_abs_errors,conformal_holdout_nq,strict_split_conformal_requested,strict_split_conformal_active,strict_split_reason,interval_uncertainty_source,curve_bootstrap_n_valid,curve_bootstrap_fit_mode,log2_nps,nps,sigma_log2_nps,sigma_wls_log2_nps,sigma_eff_log2_nps,ci_halfwidth_log2_nps,sigma_cv,sigma_cv_k,sigma_cv_k_obs,sigma_cv_k_extrap,sigma_cv_log2_at_obs_max,sigma_cv_log2_gate_at_obs_max,log2_nps_lo,log2_nps_hi,nps_lo,nps_hi,predictor_name,predictor_thr_min,predictor_thr_max
S,1%,dephasing,0.01,0.01,hypergraph,5,0.8795534257454656,0.8695534257454656,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,5.413457139250416,42.619954246732654,0.06519456771036818,0.027617961463781628,0.06519456771036818,0.3155111687919988,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,5.097945970458417,5.728968308042415,34.24795572515744,53.03850876737942,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,6,0.8482780750425963,0.8382780750425963,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,6.475261622834816,88.97089886838772,0.07425638505283169,0.022178722182211886,0.07425638505283169,0.3786134025503986,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,6.096648220284417,6.853875025385215,68.43432489840039,115.6703285551649,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,7,0.8157225169306835,0.8057225169306835,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,7.530127087291828,184.83921883312328,0.08505486753516059,0.01996682145237654,0.08505486753516059,0.4417156363087984,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,7.088411450983029,7.971842723600627,136.0894529635956,251.05205491551678,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,8,0.7826585030783063,0.7726585030783063,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,8.564981231250409,378.7182753980299,0.0962208252136653,0.018172582484885978,0.0962208252136653,0.5048178700671981,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,8.06016336118321,9.069799101317606,266.9014552084875,537.3801053591895,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,9,0.7498406842820471,0.7398406842820471,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,9.578458074153062,764.5452466213947,0.10766579260587428,0.01709280958836581,0.10766579260587428,0.5679201038255979,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,9.010537970327464,10.14637817797866,515.7535264575563,1133.350339155602,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,10,0.7179663295237722,0.7079663295237721,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,10.576141400313324,1526.637056323123,0.1193523982142356,0.017166115034627345,0.1193523982142356,0.6310223375839976,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,9.945119062729326,11.207163737897321,985.7780606662843,2364.244848544987,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,11,0.6876427583703428,0.6776427583703428,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,11.530296795692683,2957.7754125647243,0.13152819792304313,0.020488540929340097,0.13152819792304313,0.6941245713423975,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,10.836172224350285,12.224421367035081,1828.1544238175666,4785.391910659207,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,12,0.6593639111658149,0.6493639111658149,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,12.37378442012675,5307.381060735513,0.14421790425346137,0.026652277451390153,0.14421790425346137,0.7572268051007972,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,11.616557615025952,13.131011225227548,3140.019090520454,8970.739639415748,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,13,0.6334967799138606,0.6234967799138605,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,13.294021502015699,10043.827266259796,0.1564280270612865,0.029894611100414987,0.1564280270612865,0.820329038859197,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,12.473692463156501,14.114350540874897,5687.947616751346,17735.47735520113,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,14,0.6102775926186259,0.6002775926186259,false,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,14.218208688075595,19059.315520885564,0.16831367810249492,0.03141445696394815,0.16831367810249492,0.8834312726175968,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,13.334777415458,15.101639960693191,10331.609609691244,35159.817477416786,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,15,0.5898168474867806,0.5798168474867806,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,15.076325216820322,34548.254856133964,0.18012669520102473,0.03251780362049681,0.18012669520102473,0.9465335063759965,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,14.129791710444326,16.022858723196318,17926.31969650545,66582.65242458331,opt1_dense_hg,0.51,0.97
