device,readout_error,channel,amplitude,eta,method,nq,q_acc,target_threshold,is_observed,is_extrapolated,is_trivial_regime,is_meaningful,is_near_random,is_random_baseline_fix,is_inference_point,random_baseline_eps,random_baseline_threshold,nq_cutoff,pred_status,target_in_pred_range,extrapolation_trusted,extrapolation_reason,interval_method_requested,interval_method_effective,interval_method_fallback_reason,interval_method_fallback_n_abs_errors,conformal_n_abs_errors,conformal_holdout_nq,strict_split_conformal_requested,strict_split_conformal_active,strict_split_reason,interval_uncertainty_source,curve_bootstrap_n_valid,curve_bootstrap_fit_mode,log2_nps,nps,sigma_log2_nps,sigma_wls_log2_nps,sigma_eff_log2_nps,ci_halfwidth_log2_nps,sigma_cv,sigma_cv_k,sigma_cv_k_obs,sigma_cv_k_extrap,sigma_cv_log2_at_obs_max,sigma_cv_log2_gate_at_obs_max,log2_nps_lo,log2_nps_hi,nps_lo,nps_hi,predictor_name,predictor_thr_min,predictor_thr_max
S,1%,dephasing,0.01,0.01,hypergraph,5,0.8795534257454656,0.8695534257454656,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,5.413457139250416,42.619954246732654,0.06519456771036818,0.027617961463781628,0.06519456771036818,0.21540936284785708,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,5.198047776402559,5.628866502098273,36.708640401334435,49.483186523234814,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,6,0.8482780750425963,0.8382780750425963,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,6.475261622834816,88.97089886838772,0.07425638505283169,0.022178722182211886,0.07425638505283169,0.2584912354174285,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,6.216770387417387,6.733752858252245,74.37626456135906,106.42939507829767,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,7,0.8157225169306835,0.8057225169306835,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,7.530127087291828,184.83921883312328,0.08505486753516059,0.01996682145237654,0.08505486753516059,0.30157310798699993,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,7.228553979304828,7.831700195278828,149.97247995245775,227.81204144700374,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,8,0.7826585030783063,0.7726585030783063,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,8.564981231250409,378.7182753980299,0.0962208252136653,0.018172582484885978,0.0962208252136653,0.34465498055657134,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,8.220326250693837,8.90963621180698,298.23923425609775,480.91436553681916,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,9,0.7498406842820471,0.7398406842820471,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,9.578458074153062,764.5452466213947,0.10766579260587428,0.01709280958836581,0.10766579260587428,0.38773685312614276,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,9.19072122102692,9.966194927279204,584.363079820786,1000.2846762848777,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,10,0.7179663295237722,0.7079663295237721,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,10.576141400313324,1526.637056323123,0.1193523982142356,0.017166115034627345,0.1193523982142356,0.43081872569571417,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,10.14532267461761,11.006960126009037,1132.521461559541,2057.904225964552,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,11,0.6876427583703428,0.6776427583703428,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,11.530296795692683,2957.7754125647243,0.13152819792304313,0.020488540929340097,0.13152819792304313,0.4739005982652856,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,11.056396197427398,12.004197393957968,2129.6434522898535,4107.934303165094,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,12,0.6593639111658149,0.6493639111658149,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,12.37378442012675,5307.381060735513,0.14421790425346137,0.026652277451390153,0.14421790425346137,0.516982470834857,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,11.856801949291892,12.890766890961608,3708.9675987616715,7594.645403011524,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,13,0.6334967799138606,0.6234967799138605,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,13.294021502015699,10043.827266259796,0.1564280270612865,0.029894611100414987,0.1564280270612865,0.5600643434044285,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,12.73395715861127,13.854085845420128,6812.4459286597585,14807.965774828537,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,14,0.6102775926186259,0.6002775926186259,false,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,14.218208688075595,19059.315520885564,0.16831367810249492,0.03141445696394815,0.16831367810249492,0.6031462159739999,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,13.615062472101595,14.821354904049596,12547.06641803447,28951.58884331264,opt1_dense_hg,0.51,0.97
S,1%,dephasing,0.01,0.01,hypergraph,15,0.5898168474867806,0.5798168474867806,true,false,false,true,false,false,true,0.02,0.52,19,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,15.076325216820322,34548.254856133964,0.18012669520102473,0.03251780362049681,0.18012669520102473,0.6462280885435713,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,14.430097128276751,15.722553305363894,22074.56102530834,54070.47108370355,opt1_dense_hg,0.51,0.97
