device,readout_error,channel,amplitude,eta,method,nq,q_acc,target_threshold,is_observed,is_extrapolated,is_trivial_regime,is_meaningful,is_near_random,is_random_baseline_fix,is_inference_point,random_baseline_eps,random_baseline_threshold,nq_cutoff,pred_status,target_in_pred_range,extrapolation_trusted,extrapolation_reason,interval_method_requested,interval_method_effective,interval_method_fallback_reason,interval_method_fallback_n_abs_errors,conformal_n_abs_errors,conformal_holdout_nq,strict_split_conformal_requested,strict_split_conformal_active,strict_split_reason,interval_uncertainty_source,curve_bootstrap_n_valid,curve_bootstrap_fit_mode,log2_nps,nps,sigma_log2_nps,sigma_wls_log2_nps,sigma_eff_log2_nps,ci_halfwidth_log2_nps,sigma_cv,sigma_cv_k,sigma_cv_k_obs,sigma_cv_k_extrap,sigma_cv_log2_at_obs_max,sigma_cv_log2_gate_at_obs_max,log2_nps_lo,log2_nps_hi,nps_lo,nps_hi,predictor_name,predictor_thr_min,predictor_thr_max
I,0.1%,dephasing,0.01,0.01,hypergraph,5,0.9256432127756833,0.9156432127756833,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,5.768054078569862,54.49507997347214,0.06841038169331655,0.034531152021014415,0.06841038169331655,0.21540936284785708,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,5.552644715722005,5.983463441417719,46.93670675494704,63.2706030446442,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,6,0.9115096151840365,0.9015096151840365,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,6.839766182779304,114.544643352948,0.0769190302416675,0.029906892346746622,0.0769190302416675,0.2584912354174285,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,6.581274947361875,7.098257418196733,95.75493567517965,137.02139976743752,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,7,0.8977202282820315,0.8877202282820315,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,7.923758332176127,242.82250573817393,0.08624336062342819,0.02454100077645677,0.08624336062342819,0.30157310798699993,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,7.622185224189127,8.225331440163126,197.0182172577866,299.2757223856929,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,8,0.8842870281511548,0.8742870281511548,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,9.041672069361558,527.004718718103,0.09633064332014739,0.018745356540880026,0.09633064332014739,0.34465498055657134,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,8.697017088804987,9.38632704991813,415.0142572196949,669.215499756009,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,9,0.871216319585202,0.861216319585202,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,10.174518332037646,1155.6736450543087,0.10745439922452636,0.01570634123139091,0.10745439922452636,0.38773685312614276,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,9.786781478911504,10.562255185163789,883.3133336136964,1512.0133740188828,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,10,0.858510534612049,0.848510534612049,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,11.317786897747723,2552.662161170566,0.11895192255752689,0.014115255081806475,0.11895192255752689,0.43081872569571417,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,10.88696817205201,11.748605623443437,1893.6686160359636,3440.9843696476164,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,11,0.8461693569371416,0.8361693569371416,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,12.460315158713104,5635.450224486877,0.13068722798247043,0.014116126177965227,0.13068722798247043,0.4739005982652856,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,11.98641456044782,12.93421575697839,4057.6101959266784,7826.848242975747,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,12,0.8341904667037556,0.8241904667037556,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,13.602257163992512,12436.191905053882,0.14267191657052036,0.016334496135199564,0.14267191657052036,0.516982470834857,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,13.085274693157654,14.11923963482737,8690.808573943781,17795.682390590893,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,13,0.8225700563058025,0.8125700563058025,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,14.743926024784448,27438.72880624616,0.1547173843096349,0.01901128954526062,0.1547173843096349,0.5600643434044285,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,14.18386168138002,15.303990368188877,18610.919063855978,40453.87742107206,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,14,0.8113032005017184,0.8013032005017184,false,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,15.886187405876537,60564.61013098501,0.16691057603805784,0.02272695015407404,0.16691057603805784,0.6031462159739999,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,15.283041189902537,16.489333621850538,39870.69656636463,91999.19530406798,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,15,0.8003841296620735,0.7903841296620735,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,17.027970098677496,133637.93769501493,0.17923122478965672,0.02712218958452259,0.17923122478965672,0.6462280885435713,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,16.381742010133927,17.674198187221066,85387.78074983427,209152.85810858075,opt1_dense_hg,0.51,0.97
