device,readout_error,channel,amplitude,eta,method,nq,q_acc,target_threshold,is_observed,is_extrapolated,is_trivial_regime,is_meaningful,is_near_random,is_random_baseline_fix,is_inference_point,random_baseline_eps,random_baseline_threshold,nq_cutoff,pred_status,target_in_pred_range,extrapolation_trusted,extrapolation_reason,interval_method_requested,interval_method_effective,interval_method_fallback_reason,interval_method_fallback_n_abs_errors,conformal_n_abs_errors,conformal_holdout_nq,strict_split_conformal_requested,strict_split_conformal_active,strict_split_reason,interval_uncertainty_source,curve_bootstrap_n_valid,curve_bootstrap_fit_mode,log2_nps,nps,sigma_log2_nps,sigma_wls_log2_nps,sigma_eff_log2_nps,ci_halfwidth_log2_nps,sigma_cv,sigma_cv_k,sigma_cv_k_obs,sigma_cv_k_extrap,sigma_cv_log2_at_obs_max,sigma_cv_log2_gate_at_obs_max,log2_nps_lo,log2_nps_hi,nps_lo,nps_hi,predictor_name,predictor_thr_min,predictor_thr_max
I,0.1%,dephasing,0.01,0.01,hypergraph,5,0.9611527170955066,0.9511527170955066,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,6.048632941166573,66.19420156218162,0.07087046342489192,0.0391796212658072,0.07087046342489192,0.3155111687919988,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,5.733121772374574,6.364144109958572,53.19142463738187,82.37553986052434,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,6,0.9534820920157268,0.9434820920157267,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,7.146389100479677,141.6698649588819,0.07829863871672446,0.033295072028957595,0.07829863871672446,0.3786134025503986,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,6.767775697929278,7.525002503030076,108.96913137013833,184.18381779418195,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,7,0.9458757621182066,0.9358757621182066,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,8.270670055767093,308.83020592964783,0.0868574972411707,0.026618946156588257,0.0868574972411707,0.4417156363087984,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,7.828954419458295,8.712385692075891,227.37887580851884,419.45891303846173,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,8,0.9383425043896486,0.9283425043896486,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,9.401436244306902,676.2609524948707,0.09695391016361302,0.021722252309215092,0.09695391016361302,0.5048178700671981,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,8.896618374239704,9.9062541143741,476.59446096669086,959.5765652451267,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,9,0.9308887359628504,0.9208887359628504,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,10.537730084147771,1486.5271361425457,0.10780623054203906,0.017956185169914943,0.10780623054203906,0.5679201038255979,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,9.969809980322173,11.10565018797337,1002.794296385225,2203.605399884798,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,10,0.9235192488896283,0.9135192488896283,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,11.678836030724863,3278.536021782816,0.11902130458458801,0.014688481572642617,0.11902130458458801,0.6310223375839976,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,11.047813693140865,12.309858368308861,2117.0119433374766,5077.344263434799,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,11,0.9162376629974254,0.9062376629974254,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,12.822485008929378,7243.569086875689,0.1304910440742283,0.012166595419928585,0.1304910440742283,0.6941245713423975,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,12.12836043758698,13.516609580271776,4477.13603072971,11719.387741674076,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,12,0.909046721913138,0.899046721913138,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,13.972526230526448,16074.945552193954,0.1421920324812174,0.011406756209585176,0.1421920324812174,0.7572268051007972,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,13.21529942542565,14.729753035627246,9510.46011871829,27170.491362180786,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,13,0.9019484957112999,0.8919484957112999,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,15.129938982126433,35856.29945135212,0.15407607574882373,0.012782693015000646,0.15407607574882373,0.820329038859197,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,14.309609943267235,15.95026802098563,20305.8801792585,63315.36476110452,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,14,0.894944524902555,0.884944524902555,false,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,16.292318123643476,80255.80478848325,0.1660744199934148,0.015430063062042598,0.1660744199934148,0.8834312726175968,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,15.40888685102588,17.17574939626107,43504.79654306451,148052.50717288893,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,15,0.8880359259290351,0.8780359259290351,true,false,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,17.461435467891324,180474.4982966095,0.17813592457172475,0.01855232738180138,0.17813592457172475,0.9465335063759965,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,16.514901961515328,18.40796897426732,93644.19612520718,347817.0125125931,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,16,0.8812234704695387,0.8712234704695387,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,18.62999133519733,405682.44113779557,0.16991625624657997,0.022024385505674447,0.16991625624657997,0.3062336376297555,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,18.323757697567576,18.936224972827087,328095.82212698256,501616.39359072497,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,17,0.8745076463726789,0.8645076463726789,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,19.79498186537932,909668.8118456359,0.17830016407533483,0.02591829393945246,0.17830016407533483,0.3063352316755326,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,19.488646633703787,20.101317097054853,735643.1775802523,1124862.3958785755,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,18,0.8678887053609958,0.8578887053609958,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,20.962629270647625,2043526.144882634,0.1873084106200551,0.029726609972791702,0.1873084106200551,0.3083141808495288,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,20.654315089798096,21.270943451497153,1650320.8324602265,2530416.524278787,opt1_dense_hg,0.51,0.97
I,0.1%,dephasing,0.01,0.01,hypergraph,19,0.8613667009911931,0.851366700991193,false,true,false,true,false,false,true,0.02,0.52,50,ok,true,true,ok,conformal_hybrid,conformal_hybrid,,0,36,13|15,false,false,not_requested,predictor_calibrated,,,22.130954443340546,4592837.925967424,0.1968734098049137,0.03346714767112541,0.1968734098049137,0.3125892474002469,0.3081965100883737,0.020546434005891578,0.011811147045950876,0.020546434005891578,0.17716720568926314,0.3081965100883737,21.8183651959403,22.443543690740793,3698131.7586260596,5704004.505789083,opt1_dense_hg,0.51,0.97
